Index,User,Scenario,FEATURE,THPARTY,WTP,ORDPREF,PROFFER
153,7,5,1,0,1,0,1.24
154,7,6,0,0,1,0,0.74
155,7,6,1,1,1,0,0.74
156,7,7,0,1,1,0,1.99
157,7,7,1,0,0,0,1.99
158,7,8,0,1,1,0,0.74
159,7,8,1,0,1,0,0.74
160,7,9,0,1,1,0,2.49
161,7,9,1,0,1,0,2.49
162,7,10,0,1,1,0,1.49
163,7,10,1,1,0,0,1.49
164,7,11,0,0,1,0,0.24
165,7,11,1,0,0,0,0.24
166,7,12,0,0,0,0,0.24
167,7,12,1,1,0,0,0.24
168,8,1,0,1,0,0,0.74
169,8,1,1,0,1,0,0.74
170,8,2,0,1,0,0,0.49
171,8,2,1,1,1,0,0.49
172,8,3,0,0,0,0,0.24
173,8,3,1,0,0,0,0.24
174,8,4,0,0,0,0,2.49
175,8,4,1,0,0,0,2.49
176,8,5,0,1,1,0,0.74
177,8,5,1,0,0,0,0.74
178,8,6,0,0,0,0,0.24
179,8,6,1,0,1,0,0.24
180,8,7,0,1,0,0,0.74
181,8,7,1,1,1,0,0.74
182,8,8,0,0,0,0,1.24
183,8,8,1,1,0,0,1.24
184,8,9,0,1,1,0,1.74
185,8,9,1,1,1,0,1.74
186,8,10,0,1,0,0,0.74
187,8,10,1,0,1,0,0.74
188,8,11,0,0,0,0,1.49
189,8,11,1,0,1,0,1.49
190,8,12,0,1,1,0,0.49
191,8,12,1,1,1,0,0.49
192,9,1,0,1,0,0,2.99
193,9,1,1,0,1,0,2.99
194,9,2,0,1,0,0,1.99
195,9,2,1,1,0,0,1.99
196,9,3,0,0,1,0,1.24
197,9,3,1,1,0,0,1.24
198,9,4,0,0,1,0,2.49
199,9,4,1,0,1,0,2.49
200,9,5,0,1,0,0,0.74
201,9,5,1,0,1,0,0.74
202,9,6,0,1,1,0,1.99
203,9,6,1,0,1,0,1.99
204,9,7,0,0,0,0,2.74
205,9,7,1,1,1,0,2.74
206,9,8,0,0,1,0,1.49
207,9,8,1,0,0,0,1.49
208,9,9,0,1,0,0,0.49
209,9,9,1,1,0,0,0.49
210,9,10,0,1,1,0,2.24
211,9,10,1,1,1,0,2.24
212,9,11,0,0,1,0,1.99
213,9,11,1,0,1,0,1.99
214,9,12,0,1,1,0,1.99
215,9,12,1,0,0,0,1.99
216,10,1,0,0,1,0,2.74
217,10,1,1,1,1,0,2.74
218,10,2,0,0,1,0,2.99
219,10,2,1,1,1,0,2.99
220,10,3,0,0,1,0,0.74
221,10,3,1,1,0,0,0.74
222,10,4,0,0,1,0,1.99
223,10,4,1,0,1,0,1.99
224,10,5,0,0,1,0,0.74
225,10,5,1,0,1,0,0.74
226,10,6,0,0,0,0,1.24
227,10,6,1,0,1,0,1.24
228,10,7,0,1,0,0,2.24
229,10,7,1,0,0,0,2.24
230,10,8,0,0,0,0,2.74
231,10,8,1,0,1,0,2.74
232,10,9,0,0,1,0,0.49
233,10,9,1,1,1,0,0.49
234,10,10,0,0,1,0,2.99
235,10,10,1,1,0,0,2.99
236,10,11,0,1,1,0,2.49
237,10,11,1,0,1,0,2.49
238,10,12,0,0,0,0,2.74
239,10,12,1,0,1,0,2.74
240,11,1,0,0,1,0,1.74
241,11,1,1,0,0,0,1.74
242,11,2,0,1,0,0,1.24
243,11,2,1,1,0,0,1.24
244,11,3,0,0,1,0,1.74
245,11,3,1,0,1,0,1.74
246,11,4,0,0,0,0,1.24
247,11,4,1,0,0,0,1.24
248,11,5,0,0,1,0,2.49
249,11,5,1,0,1,0,2.49
250,11,6,0,1,1,0,2.99
251,11,6,1,1,0,0,2.99
252,11,7,0,1,0,0,1.24
253,11,7,1,1,0,0,1.24
254,11,8,0,1,0,0,0.49
255,11,8,1,0,0,0,0.49
256,11,9,0,1,1,0,1.74
257,11,9,1,0,1,0,1.74
258,11,10,0,0,0,0,1.99
259,11,10,1,0,1,0,1.99
260,11,11,0,1,0,0,0.99
261,11,11,1,0,1,0,0.99
262,11,12,0,1,0,0,1.49
263,11,12,1,1,0,0,1.49
264,12,1,0,0,0,0,1.99
265,12,1,1,1,0,0,1.99
266,12,2,0,0,0,0,1.74
267,12,2,1,0,1,0,1.74
268,12,3,0,1,1,0,2.49
269,12,3,1,1,1,0,2.49
270,12,4,0,0,1,0,1.49
271,12,4,1,0,1,0,1.49
272,12,5,0,0,0,0,2.99
273,12,5,1,0,1,0,2.99
274,12,6,0,0,1,0,0.74
275,12,6,1,1,1,0,0.74
276,12,7,0,0,0,0,2.74
277,12,7,1,1,1,0,2.74
278,12,8,0,0,1,0,2.99
279,12,8,1,0,1,0,2.99
280,12,9,0,0,0,0,2.24
281,12,9,1,0,0,0,2.24
282,12,10,0,0,0,0,1.24
283,12,10,1,1,1,0,1.24
284,12,11,0,0,1,0,1.99
285,12,11,1,0,1,0,1.99
286,12,12,0,1,0,0,0.49
287,12,12,1,1,1,0,0.49
288,13,1,0,1,0,0,0.49
289,13,1,1,1,1,0,0.49
290,13,2,0,0,0,0,1.99
291,13,2,1,0,0,0,1.99
292,13,3,0,1,1,0,0.74
293,13,3,1,0,0,0,0.74
294,13,4,1,1,1,0,0.49
295,13,4,1,0,1,0,0.49
296,13,5,0,0,1,0,0.49
297,13,5,1,0,0,0,0.49
298,13,6,0,0,0,0,1.99
299,13,6,1,0,0,0,1.99
300,13,7,0,0,0,0,2.99
301,13,7,1,0,1,0,2.99
302,13,8,0,0,0,0,1.74
303,13,8,1,1,0,0,1.74
304,13,9,0,1,0,0,0.49
305,13,9,1,0,1,0,0.49
306,13,10,0,0,0,0,0.49
307,13,10,1,0,0,0,0.49
308,13,11,0,0,0,0,2.24
309,13,11,1,1,1,0,2.24
310,13,12,0,0,0,0,1.74
311,13,12,1,0,1,0,1.74
312,14,1,0,1,0,0,2.99
313,14,1,1,1,0,0,2.99
314,14,2,0,1,1,0,1.24
315,14,2,1,1,0,0,1.24
316,14,3,0,0,1,0,2.49
317,14,3,1,1,1,0,2.49
318,14,4,0,0,1,0,2.74
319,14,4,1,0,0,0,2.74
320,14,5,0,0,0,0,0.24
321,14,5,1,0,0,0,0.24
322,14,6,0,0,0,0,2.49
323,14,6,1,1,1,0,2.49
324,14,7,0,1,0,0,1.99
325,14,7,1,0,1,0,1.99
326,14,8,0,0,0,0,2.24
327,14,8,1,0,0,0,2.24
328,14,9,0,0,0,0,2.74
329,14,9,1,0,0,0,2.74
330,14,10,0,1,0,0,1.74
331,14,10,1,1,0,0,1.74
332,14,11,0,0,1,0,2.49
333,14,11,1,0,1,0,2.49
334,14,12,0,0,1,0,2.24
335,14,12,1,1,0,0,2.24
336,15,1,0,0,1,0,1.99
337,15,1,1,1,1,0,1.99
338,15,2,0,0,0,0,2.99
339,15,2,1,0,1,0,2.99
340,15,3,0,0,0,0,1.74
341,15,3,1,1,1,0,1.74
342,15,4,0,0,0,0,2.74
343,15,4,1,1,1,0,2.74
344,15,5,0,0,0,0,0.99
345,15,5,1,1,0,0,0.99
346,15,6,0,0,0,0,1.99
347,15,6,1,1,0,0,1.99
348,15,7,0,0,1,0,0.49
349,15,7,1,0,0,0,0.49
350,15,8,0,0,0,0,1.24
351,15,8,1,1,0,0,1.24
352,15,9,0,0,0,0,1.24
353,15,9,1,1,1,0,1.24
354,15,10,0,0,0,0,0.49
355,15,10,1,0,1,0,0.49
356,15,11,0,1,1,0,2.24
357,15,11,1,0,1,0,2.24
358,15,12,0,0,0,0,1.74
359,15,12,1,0,1,0,1.74
360,16,1,0,1,0,0,2.99
361,16,1,1,1,0,0,2.99
362,16,2,0,0,0,0,2.49
363,16,2,1,1,1,0,2.49
364,16,3,0,0,1,0,1.99
365,16,3,1,1,0,0,1.99
366,16,4,0,0,0,0,2.99
367,16,4,1,1,1,0,2.99
368,16,5,0,1,0,0,2.99
369,16,5,1,1,1,0,2.99
370,16,6,0,0,1,0,2.74
371,16,6,1,1,1,0,2.74
372,16,7,0,0,1,0,1.74
373,16,7,1,0,1,0,1.74
374,16,8,0,1,0,0,2.99
375,16,8,1,0,0,0,2.99
376,16,9,0,1,0,0,0.24
377,16,9,1,1,1,0,0.24
378,16,10,0,0,0,0,0.99
379,16,10,1,1,1,0,0.99
380,16,11,0,0,0,0,0.74
381,16,11,1,0,0,0,0.74
382,16,12,0,0,1,0,2.99
383,16,12,1,1,1,0,2.99
384,17,1,0,1,1,0,2.74
385,17,1,1,0,0,0,2.74
386,17,2,0,0,1,0,1.24
387,17,2,1,1,1,0,1.24
388,17,3,0,0,0,0,0.49
389,17,3,1,0,0,0,0.49
390,17,4,0,0,0,0,0.24
391,17,4,1,1,1,0,0.24
392,17,5,0,0,0,0,1.24
393,17,5,1,0,1,0,1.24
394,17,6,0,0,1,0,1.74
395,17,6,1,0,0,0,1.74
396,17,7,0,0,0,0,2.49
397,17,7,1,1,1,0,2.49
398,17,8,0,1,0,0,2.74
399,17,8,1,0,0,0,2.74
400,17,9,0,1,0,0,1.99
401,17,9,1,0,1,0,1.99
402,17,10,0,0,1,0,2.74
403,17,10,1,1,1,0,2.74
404,17,11,0,0,1,0,0.74
405,17,11,1,1,0,0,0.74
406,17,12,0,0,1,0,0.74
407,17,12,1,0,1,0,0.74
408,18,1,0,1,1,0,0.24
409,18,1,1,0,0,0,0.24
410,18,2,0,1,0,0,2.74
411,18,2,1,1,0,0,2.74
412,18,3,0,1,1,0,0.99
413,18,3,1,1,0,0,0.99
414,18,4,0,0,0,0,2.74
415,18,4,1,1,1,0,2.74
416,18,5,0,1,0,0,2.74
417,18,5,1,0,1,0,2.74
418,18,6,0,0,1,0,0.74
419,18,6,1,0,0,0,0.74
420,18,7,0,1,1,0,2.99
421,18,7,1,0,1,0,2.99
422,18,8,0,0,0,0,2.24
423,18,8,1,1,0,0,2.24
424,18,9,0,0,1,0,0.74
425,18,9,1,0,1,0,0.74
426,18,10,0,0,0,0,2.24
427,18,10,1,0,0,0,2.24
428,18,11,0,0,0,0,0.99
429,18,11,1,1,0,0,0.99
430,18,12,0,0,1,0,2.24
431,18,12,1,0,1,0,2.24
432,19,1,0,0,0,0,2.99
433,19,1,1,0,1,0,2.99
434,19,2,0,1,0,0,0.24
435,19,2,1,1,1,0,0.24
436,19,3,0,0,0,0,2.99
437,19,3,1,0,0,0,2.99
438,19,4,0,1,0,0,2.99
439,19,4,1,0,0,0,2.99
440,19,5,0,0,0,0,0.74
441,19,5,1,1,0,0,0.74
442,19,6,0,0,1,0,0.99
443,19,6,1,1,1,0,0.99
444,19,7,0,0,0,0,2.49
445,19,7,1,1,1,0,2.49
446,19,8,0,1,1,0,1.99
447,19,8,1,1,1,0,1.99
448,19,9,0,1,0,0,1.74
449,19,9,1,0,0,0,1.74
450,19,10,0,0,0,0,2.49
451,19,10,1,1,1,0,2.49
452,19,11,0,0,0,0,2.24
453,19,11,1,0,0,0,2.24
454,19,12,0,1,1,0,0.74
455,19,12,1,1,1,0,0.74
456,20,1,0,0,0,0,1.99
457,20,1,1,1,1,0,1.99
458,20,2,0,0,0,0,0.49
459,20,2,1,1,0,0,0.49
460,20,3,0,1,1,0,2.24
461,20,3,1,0,1,0,2.24
462,20,4,0,0,1,0,2.74
463,20,4,1,1,0,0,2.74
464,20,5,0,1,0,0,0.24
465,20,5,1,1,1,0,0.24
466,20,6,0,1,0,0,1.99
467,20,6,1,0,0,0,1.99
468,20,7,0,1,1,0,2.74
469,20,7,1,1,0,0,2.74
470,20,8,0,0,1,0,0.99
471,20,8,1,1,0,0,0.99
472,20,9,0,0,0,0,1.24
473,20,9,1,1,1,0,1.24
474,20,10,0,1,0,0,1.74
475,20,10,1,0,1,0,1.74
476,20,11,0,1,0,0,2.74
477,20,11,1,0,0,0,2.74
478,20,12,0,0,0,0,1.49
479,20,12,1,0,0,0,1.49
480,21,1,0,1,1,0,0.74
481,21,1,1,0,0,0,0.74
482,21,2,0,1,1,0,2.99
483,21,2,1,0,1,0,2.99
484,21,3,0,1,1,0,0.74
485,21,3,1,1,0,0,0.74
486,21,4,0,1,0,0,0.49
487,21,4,1,1,1,0,0.49
488,21,5,0,1,0,0,0.74
489,21,5,1,1,1,0,0.74
490,21,6,0,1,0,0,1.99
491,21,6,1,1,1,0,1.99
492,21,7,0,1,0,0,2.24
493,21,7,1,0,1,0,2.24
494,21,8,0,0,1,0,2.24
495,21,8,1,1,0,0,2.24
496,21,9,0,0,0,0,0.24
497,21,9,1,1,1,0,0.24
498,21,10,0,1,0,0,2.49
499,21,10,1,1,1,0,2.49
500,21,11,0,1,1,0,0.74
501,21,11,1,1,1,0,0.74
502,21,12,0,1,1,0,0.49
503,21,12,1,0,0,0,0.49
504,22,1,0,0,1,0,1.99
505,22,1,1,1,0,0,1.99
506,22,2,0,1,1,0,1.74
507,22,2,1,1,1,0,1.74
508,22,3,0,0,1,0,0.24
509,22,3,1,1,1,0,0.24
510,22,4,0,1,1,0,1.99
511,22,4,1,1,1,0,1.99
512,22,5,0,1,1,0,1.74
513,22,5,1,0,0,0,1.74
514,22,6,0,1,0,0,2.24
515,22,6,1,1,1,0,2.24
516,22,7,0,0,1,0,2.24
517,22,7,1,0,1,0,2.24
518,22,8,0,0,0,0,2.99
519,22,8,1,0,1,0,2.99
520,22,9,0,1,0,0,0.74
521,22,9,1,0,1,0,0.74
522,22,10,0,0,1,0,0.24
523,22,10,1,1,0,0,0.24
524,22,11,0,1,0,0,1.99
525,22,11,1,0,1,0,1.99
526,22,12,0,1,0,0,2.74
527,22,12,1,0,1,0,2.74
528,23,1,0,0,0,0,0.49
529,23,1,1,1,1,0,0.49
530,23,2,0,0,1,0,1.99
531,23,2,1,0,1,0,1.99
532,23,3,0,1,0,0,1.49
533,23,3,1,1,1,0,1.49
534,23,4,0,1,0,0,1.24
535,23,4,1,0,1,0,1.24
536,23,5,0,0,0,0,2.49
537,23,5,1,0,1,0,2.49
538,23,6,0,0,0,0,1.49
539,23,6,1,0,0,0,1.49
540,23,7,0,1,0,0,0.74
541,23,7,1,0,1,0,0.74
542,23,8,0,0,0,0,1.49
543,23,8,1,1,1,0,1.49
544,23,9,0,1,0,0,0.99
545,23,9,1,1,0,0,0.99
546,23,10,0,1,1,0,2.99
547,23,10,1,1,0,0,2.99
548,23,11,0,0,1,0,1.99
549,23,11,1,0,0,0,1.99
550,23,12,0,1,1,0,0.49
551,23,12,1,1,1,0,0.49
552,24,1,0,0,0,0,2.24
553,24,1,1,1,1,0,2.24
554,24,2,0,0,0,0,0.49
555,24,2,1,1,1,0,0.49
556,24,3,0,1,0,0,2.24
557,24,3,1,0,0,0,2.24
558,24,4,0,1,0,0,0.49
559,24,4,1,0,1,0,0.49
560,24,5,0,1,0,0,2.74
561,24,5,1,1,0,0,2.74
562,24,6,0,0,1,0,2.24
563,24,6,1,0,0,0,2.24
564,24,7,0,0,1,0,1.74
565,24,7,1,1,0,0,1.74
566,24,8,0,1,0,0,2.99
567,24,8,1,0,0,0,2.99
568,24,9,0,0,1,0,2.99
569,24,9,1,0,0,0,2.99
570,24,10,0,0,1,0,1.24
571,24,10,1,0,1,0,1.24
572,24,11,0,0,0,0,0.24
573,24,11,1,1,0,0,0.24
574,24,12,0,1,0,0,1.74
575,24,12,1,0,1,0,1.74
576,25,1,0,0,0,0,0.74
577,25,1,1,0,0,0,0.74
578,25,2,0,0,1,0,1.24
579,25,2,1,1,1,0,1.24
580,25,3,0,0,0,0,0.49
581,25,3,1,0,0,0,0.49
582,25,4,0,0,1,0,1.49
583,25,4,1,1,0,0,1.49
584,25,5,0,1,0,0,2.49
585,25,5,1,0,0,0,2.49
586,25,6,0,0,1,0,1.74
587,25,6,1,0,1,0,1.74
588,25,7,0,1,0,0,1.49
589,25,7,1,1,1,0,1.49
590,25,8,0,0,1,0,1.49
591,25,8,1,1,1,0,1.49
592,25,9,0,0,0,0,0.74
593,25,9,1,1,1,0,0.74
594,25,10,0,1,0,0,1.74
595,25,10,1,1,1,0,1.74
596,25,11,0,1,0,0,1.49
597,25,11,1,1,0,0,1.49
598,25,12,0,0,1,0,1.49
599,25,12,1,1,0,0,1.49
600,26,1,0,1,1,0,2.24
601,26,1,1,0,0,0,2.24
602,26,2,0,1,0,0,0.74
603,26,2,1,0,0,0,0.74
604,26,3,0,0,0,0,1.74
605,26,3,1,1,1,0,1.74
606,26,4,0,0,0,0,1.49
607,26,4,1,1,0,0,1.49
608,26,5,0,0,0,0,0.49
609,26,5,1,1,1,0,0.49
610,26,6,0,1,0,0,0.49
611,26,6,1,1,0,0,0.49
612,26,7,0,0,0,0,0.24
613,26,7,1,1,1,0,0.24
614,26,8,1,1,1,0,2.99
615,26,8,1,0,0,0,2.99
616,26,9,0,0,0,0,0.49
617,26,9,1,0,1,0,0.49
618,26,10,0,1,0,0,2.24
619,26,10,1,0,1,0,2.24
620,26,11,0,0,0,0,0.99
621,26,11,1,0,1,0,0.99
622,26,12,0,1,1,0,1.99
623,26,12,1,0,0,0,1.99
624,27,1,0,1,1,0,1.99
625,27,1,1,0,1,0,1.99
626,27,2,0,0,1,0,0.74
627,27,2,1,1,0,0,0.74
628,27,3,0,0,1,0,0.24
629,27,3,1,0,0,0,0.24
630,27,4,0,0,1,0,2.74
631,27,4,1,0,1,0,2.74
632,27,5,0,1,0,0,0.99
633,27,5,1,0,1,0,0.99
634,27,6,0,1,1,0,2.99
635,27,6,1,1,0,0,2.99
636,27,7,0,0,1,0,2.49
637,27,7,1,0,1,0,2.49
638,27,8,0,0,0,0,1.99
639,27,8,1,1,0,0,1.99
640,27,9,0,0,0,0,2.99
641,27,9,1,1,1,0,2.99
642,27,10,0,0,1,0,2.49
643,27,10,1,0,0,0,2.49
644,27,11,0,1,0,0,2.24
645,27,11,1,1,1,0,2.24
646,27,12,0,0,0,0,2.74
647,27,12,1,0,1,0,2.74
648,28,1,0,0,0,0,2.74
649,28,1,1,1,1,0,2.74
650,28,2,0,1,1,0,2.99
651,28,2,1,1,0,0,2.99
652,28,3,0,0,0,0,1.99
653,28,3,1,0,1,0,1.99
654,28,4,0,0,0,0,0.74
655,28,4,1,1,1,0,0.74
656,28,5,0,0,0,0,2.99
657,28,5,1,1,1,0,2.99
658,28,6,0,1,1,0,2.24
659,28,6,1,0,1,0,2.24
660,28,7,0,0,0,0,2.49
661,28,7,1,1,1,0,2.49
662,28,8,0,1,1,0,0.49
663,28,8,1,1,1,0,0.49
664,28,9,0,0,1,0,1.99
665,28,9,1,0,1,0,1.99
666,28,10,0,1,1,0,1.99
667,28,10,1,0,1,0,1.99
668,28,11,0,0,0,0,2.49
669,28,11,1,1,0,0,2.49
670,28,12,0,1,0,0,0.74
671,28,12,1,1,0,0,0.74
672,29,1,0,0,0,0,1.49
673,29,1,1,0,1,0,1.49
674,29,2,0,1,0,0,1.99
675,29,2,1,1,0,0,1.99
676,29,3,0,1,1,0,2.99
677,29,3,1,1,0,0,2.99
678,29,4,0,0,0,0,0.99
679,29,4,1,1,0,0,0.99
680,29,5,0,0,0,0,2.49
681,29,5,1,1,0,0,2.49
682,29,6,0,1,0,0,0.49
683,29,6,1,1,1,0,0.49
684,29,7,0,1,0,0,1.74
685,29,7,1,1,0,0,1.74
686,29,8,0,0,0,0,0.74
687,29,8,1,0,1,0,0.74
688,29,9,0,1,1,0,2.99
689,29,9,1,1,0,0,2.99
690,29,10,0,1,0,0,2.49
691,29,10,1,0,1,0,2.49
692,29,11,0,1,0,0,1.49
693,29,11,1,0,1,0,1.49
694,29,12,0,1,0,0,1.99
695,29,12,1,1,0,0,1.99
696,30,1,0,0,0,0,2.74
697,30,1,1,1,0,0,2.74
698,30,2,0,1,0,0,0.24
699,30,2,1,0,0,0,0.24
700,30,3,0,0,1,0,2.99
701,30,3,1,1,1,0,2.99
702,30,4,0,0,0,0,0.24
703,30,4,1,1,0,0,0.24
704,30,5,0,1,1,0,2.24
705,30,5,1,1,1,0,2.24
706,30,6,0,0,0,0,0.99
707,30,6,1,0,0,0,0.99
708,30,7,0,0,0,0,2.49
709,30,7,1,1,1,0,2.49
710,30,8,0,1,1,0,1.49
711,30,8,1,1,0,0,1.49
712,30,9,0,0,0,0,2.24
713,30,9,1,1,0,0,2.24
714,30,10,0,0,1,0,1.24
715,30,10,1,0,1,0,1.24
716,30,11,0,1,0,0,2.24
717,30,11,1,1,1,0,2.24
718,30,12,0,0,1,0,1.74
719,30,12,1,0,1,0,1.74
720,31,1,0,1,0,0,1.24
721,31,1,1,1,1,0,1.24
722,31,2,0,1,0,0,2.99
723,31,2,1,0,1,0,2.99
724,31,3,0,1,0,0,2.74
725,31,3,1,0,1,0,2.74
726,31,4,0,1,1,0,2.99
727,31,4,1,1,0,0,2.99
728,31,5,0,1,0,0,2.49
729,31,5,1,1,1,0,2.49
730,31,6,0,1,0,0,0.24
731,31,6,1,0,0,0,0.24
732,31,7,0,0,0,0,2.74
733,31,7,1,1,1,0,2.74
734,31,8,0,0,1,0,2.99
735,31,8,1,1,0,0,2.99
736,31,9,0,0,0,0,0.24
737,31,9,1,1,0,0,0.24
738,31,10,0,1,0,0,0.74
739,31,10,1,0,1,0,0.74
740,31,11,0,1,0,0,0.24
741,31,11,1,1,0,0,0.24
742,31,12,0,0,1,0,1.99
743,31,12,1,1,0,0,1.99
744,32,1,0,0,1,0,0.74
745,32,1,1,1,1,0,0.74
746,32,2,0,0,0,0,0.74
747,32,2,1,1,1,0,0.74
748,32,3,0,1,0,0,2.24
749,32,3,1,0,0,0,2.24
750,32,4,0,1,0,0,0.99
751,32,4,1,1,1,0,0.99
752,32,5,0,0,0,0,0.74
753,32,5,1,1,1,0,0.74
754,32,6,0,0,0,0,2.74
755,32,6,1,0,0,0,2.74
756,32,7,0,0,0,0,2.99
757,32,7,1,0,1,0,2.99
758,32,8,0,0,0,0,2.99
759,32,8,1,1,0,0,2.99
760,32,9,0,1,1,0,2.49
761,32,9,1,1,1,0,2.49
762,32,10,0,1,0,0,0.99
763,32,10,1,0,1,0,0.99
764,32,11,0,0,0,0,1.49
765,32,11,1,0,1,0,1.49
766,32,12,0,0,0,0,0.49
767,32,12,1,1,1,0,0.49
768,33,1,0,0,1,0,1.49
769,33,1,1,0,1,0,1.49
770,33,2,0,1,0,0,0.49
771,33,2,1,0,1,0,0.49
772,33,3,0,0,1,0,0.49
